# P = 2305843009213693951
# n p(n) distinct symmetric pairs collisions digest
0 1 1 1 0 0 1
1 1 1 1 0 0 8
2 2 1 0 1 0 114
3 3 2 1 1 0 1599
4 5 3 1 2 0 27984
5 7 4 1 3 0 509299
6 11 6 1 5 0 10420778
7 15 8 1 7 0 222673081
8 22 12 2 10 0 5132948493
9 30 16 2 14 0 123216952035
10 42 22 2 20 0 3126121145119
11 56 29 2 27 0 82258592213189
12 77 40 3 37 0 2260777478569792
13 101 52 3 49 0 64193220597644211
14 135 69 3 66 0 1889461243875258832
15 176 90 4 86 0 1922380254048900406
16 231 118 5 113 0 253782084553653727
17 297 151 5 146 0 782242614681403736
18 385 195 5 190 0 1366789721438723553
19 490 248 6 242 0 980673294467909573
20 627 317 7 310 0 153595420338191684
21 792 400 8 392 0 306280355564114013
22 1002 505 8 497 0 1831427116923885425
23 1255 632 9 623 0 616274739371896940
24 1575 793 11 782 0 2125805669279474676
25 1958 985 12 973 0 2133690765788453022
26 2436 1224 12 1212 0 451427334668990646
27 3010 1512 14 1498 0 1995720202717185660
28 3718 1867 16 1851 0 38450365757864749
29 4565 2291 17 2274 0 2013683290286281288
30 5604 2811 18 2793 0 2256272504203865836
31 6842 3431 20 3411 0 1776432364215639134
32 8349 4186 23 4163 0 1511883852783721810
33 10143 5084 25 5059 0 408684443524747020
34 12310 6168 26 6142 0 850919154914257675
35 14883 7456 29 7427 0 448612900815116345
36 17977 9005 33 8972 0 172615589627799341
37 21637 10836 35 10801 0 1429326353892471104
38 26015 13026 37 12989 0 1290567302857411908
39 31185 15613 41 15572 0 67006514382270389
40 37338 18692 46 18646 0 2037571763665077570
41 44583 22316 49 22267 0 1369938363235200040
42 53174 26613 52 26561 0 577640239776089963
43 63261 31659 57 31602 0 299387188710437630
44 75175 37619 63 37556 0 523193383128183659
45 89134 44601 68 44533 0 1568118061668171670
46 105558 52815 72 52743 0 2186807481195982719
47 124754 62416 78 62338 0 717254942664708874
48 147273 73680 87 73593 0 185996569193064764
49 173525 86809 93 86716 0 944376163414508813
50 204226 102162 98 102064 0 1364444582561564424
51 239943 120025 107 119918 0 1497092554795323246
52 281589 140853 117 140736 0 993318227069050624
53 329931 165028 125 164903 0 343918078233676364
54 386155 193144 133 193011 0 1664499700913381974
55 451276 225710 144 225566 0 86176838774455955
56 526823 263490 157 263333 0 1331140527110940103
57 614154 307161 168 306993 0 863828840364389349
58 715220 357699 178 357521 0 389964313524529146
59 831820 416006 192 415814 0 39993952696372714
60 966467 483338 209 483129 0 871954131624231608
61 1121505 560864 223 560641 0 1081574750456119470
62 1300156 650196 236 649960 0 617438620838060554
63 1505499 752877 255 752622 0 1277346124462079365
64 1741630 870953 276 870677 0 656086120044239012
65 2012558 1006426 294 1006132 0 1463544083157408741
66 2323520 1161916 312 1161604 0 1149117494673211561
67 2679689 1340012 335 1339677 0 1856647663334923942
68 3087735 1544048 361 1543687 0 469292873283712958
69 3554345 1777365 385 1776980 0 520676876089040013
70 4087968 2044188 408 2043780 0 2088548390927581573
71 4697205 2348821 437 2348384 0 1833893579765634840
72 5392783 2696627 471 2696156 0 1406897351810555442
73 6185689 3093095 501 3092594 0 2175469441621303430
74 7089500 3545015 530 3544485 0 799655205946916163
75 8118264 4059416 568 4058848 0 593216384988058880
