1 0 {'f': 0, 'f,r': 0, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
2 2 {'f': 0, 'f,r': 0, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
3 6 {'f': 0, 'f,r': 0, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
4 14 {'f': 0, 'f,r': 0, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
5 30 {'f': 0, 'f,r': 0, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
6 56 {'f': 2, 'f,r': 2, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
7 102 {'f': 2, 'f,r': 2, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
8 172 {'f': 2, 'f,r': 2, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
9 284 {'f': 2, 'f,r': 2, 'f,C2': 0, 'r,d2,f': 0, 'dvec': 0}
10 450 {'f': 4, 'f,r': 4, 'f,C2': 0, 'r,d2,f': 2, 'dvec': 0}
11 700 {'f': 4, 'f,r': 4, 'f,C2': 0, 'r,d2,f': 2, 'dvec': 0}
12 1060 {'f': 6, 'f,r': 4, 'f,C2': 0, 'r,d2,f': 2, 'dvec': 0}
13 1580 {'f': 10, 'f,r': 6, 'f,C2': 0, 'r,d2,f': 4, 'dvec': 0}
14 2312 {'f': 10, 'f,r': 6, 'f,C2': 0, 'r,d2,f': 4, 'dvec': 0}
15 3338 {'f': 10, 'f,r': 6, 'f,C2': 0, 'r,d2,f': 4, 'dvec': 0}
16 4752 {'f': 14, 'f,r': 8, 'f,C2': 0, 'r,d2,f': 4, 'dvec': 0}
17 6690 {'f': 18, 'f,r': 10, 'f,C2': 0, 'r,d2,f': 4, 'dvec': 0}
18 9314 {'f': 32, 'f,r': 22, 'f,C2': 0, 'r,d2,f': 10, 'dvec': 0}
19 12846 {'f': 34, 'f,r': 22, 'f,C2': 0, 'r,d2,f': 10, 'dvec': 0}
20 17554 {'f': 38, 'f,r': 26, 'f,C2': 0, 'r,d2,f': 10, 'dvec': 0}
21 23796 {'f': 50, 'f,r': 30, 'f,C2': 0, 'r,d2,f': 12, 'dvec': 0}
22 32006 {'f': 66, 'f,r': 40, 'f,C2': 0, 'r,d2,f': 16, 'dvec': 0}
23 42752 {'f': 72, 'f,r': 46, 'f,C2': 0, 'r,d2,f': 20, 'dvec': 0}
24 56720 {'f': 84, 'f,r': 56, 'f,C2': 0, 'r,d2,f': 28, 'dvec': 0}
25 74798 {'f': 98, 'f,r': 62, 'f,C2': 0, 'r,d2,f': 30, 'dvec': 0}
26 98056 {'f': 114, 'f,r': 74, 'f,C2': 0, 'r,d2,f': 38, 'dvec': 0}
27 127860 {'f': 130, 'f,r': 86, 'f,C2': 0, 'r,d2,f': 44, 'dvec': 0}
28 165852 {'f': 174, 'f,r': 124, 'f,C2': 0, 'r,d2,f': 64, 'dvec': 0}
29 214108 {'f': 184, 'f,r': 128, 'f,C2': 0, 'r,d2,f': 68, 'dvec': 0}
30 275116 {'f': 240, 'f,r': 170, 'f,C2': 0, 'r,d2,f': 92, 'dvec': 0}
31 351992 {'f': 266, 'f,r': 184, 'f,C2': 2, 'r,d2,f': 104, 'dvec': 0}
