Aitken cross-check: all partitions of n<=12 agree (272 shapes)
Aitken cross-check: 20 random partitions of 20 agree
# n  #partitions  #distinct  #symmetric  #transpose_pairs  #collision_groups  digest  status
0 1 1 1 0 0 1 MATCH
1 1 1 1 0 0 8 MATCH
2 2 1 0 1 0 114 MATCH
3 3 2 1 1 0 1599 MATCH
4 5 3 1 2 0 27984 MATCH
5 7 4 1 3 0 509299 MATCH
6 11 6 1 5 0 10420778 MATCH
7 15 8 1 7 0 222673081 MATCH
8 22 12 2 10 0 5132948493 MATCH
9 30 16 2 14 0 123216952035 MATCH
10 42 22 2 20 0 3126121145119 MATCH
11 56 29 2 27 0 82258592213189 MATCH
12 77 40 3 37 0 2260777478569792 MATCH
13 101 52 3 49 0 64193220597644211 MATCH
14 135 69 3 66 0 1889461243875258832 MATCH
15 176 90 4 86 0 1922380254048900406 MATCH
16 231 118 5 113 0 253782084553653727 MATCH
17 297 151 5 146 0 782242614681403736 MATCH
18 385 195 5 190 0 1366789721438723553 MATCH
19 490 248 6 242 0 980673294467909573 MATCH
20 627 317 7 310 0 153595420338191684 MATCH
21 792 400 8 392 0 306280355564114013 MATCH
22 1002 505 8 497 0 1831427116923885425 MATCH
23 1255 632 9 623 0 616274739371896940 MATCH
24 1575 793 11 782 0 2125805669279474676 MATCH
25 1958 985 12 973 0 2133690765788453022 MATCH
26 2436 1224 12 1212 0 451427334668990646 MATCH
27 3010 1512 14 1498 0 1995720202717185660 MATCH
28 3718 1867 16 1851 0 38450365757864749 MATCH
29 4565 2291 17 2274 0 2013683290286281288 MATCH
30 5604 2811 18 2793 0 2256272504203865836 MATCH
