0 MATCH (1, 1, 1, 0, 0, 1)
1 MATCH (1, 1, 1, 0, 0, 8)
2 MATCH (2, 1, 0, 1, 0, 114)
3 MATCH (3, 2, 1, 1, 0, 1599)
4 MATCH (5, 3, 1, 2, 0, 27984)
5 MATCH (7, 4, 1, 3, 0, 509299)
6 MATCH (11, 6, 1, 5, 0, 10420778)
7 MATCH (15, 8, 1, 7, 0, 222673081)
8 MATCH (22, 12, 2, 10, 0, 5132948493)
9 MATCH (30, 16, 2, 14, 0, 123216952035)
10 MATCH (42, 22, 2, 20, 0, 3126121145119)
11 MATCH (56, 29, 2, 27, 0, 82258592213189)
12 MATCH (77, 40, 3, 37, 0, 2260777478569792)
13 MATCH (101, 52, 3, 49, 0, 64193220597644211)
14 MATCH (135, 69, 3, 66, 0, 1889461243875258832)
15 MATCH (176, 90, 4, 86, 0, 1922380254048900406)
16 MATCH (231, 118, 5, 113, 0, 253782084553653727)
17 MATCH (297, 151, 5, 146, 0, 782242614681403736)
18 MATCH (385, 195, 5, 190, 0, 1366789721438723553)
19 MATCH (490, 248, 6, 242, 0, 980673294467909573)
20 MATCH (627, 317, 7, 310, 0, 153595420338191684)
21 MATCH (792, 400, 8, 392, 0, 306280355564114013)
22 MATCH (1002, 505, 8, 497, 0, 1831427116923885425)
23 MATCH (1255, 632, 9, 623, 0, 616274739371896940)
24 MATCH (1575, 793, 11, 782, 0, 2125805669279474676)
25 MATCH (1958, 985, 12, 973, 0, 2133690765788453022)
26 MATCH (2436, 1224, 12, 1212, 0, 451427334668990646)
27 MATCH (3010, 1512, 14, 1498, 0, 1995720202717185660)
28 MATCH (3718, 1867, 16, 1851, 0, 38450365757864749)
29 MATCH (4565, 2291, 17, 2274, 0, 2013683290286281288)
30 MATCH (5604, 2811, 18, 2793, 0, 2256272504203865836)
31 MATCH (6842, 3431, 20, 3411, 0, 1776432364215639134)
32 MATCH (8349, 4186, 23, 4163, 0, 1511883852783721810)
33 MATCH (10143, 5084, 25, 5059, 0, 408684443524747020)
34 MATCH (12310, 6168, 26, 6142, 0, 850919154914257675)
35 MATCH (14883, 7456, 29, 7427, 0, 448612900815116345)
36 MATCH (17977, 9005, 33, 8972, 0, 172615589627799341)
37 MATCH (21637, 10836, 35, 10801, 0, 1429326353892471104)
38 MATCH (26015, 13026, 37, 12989, 0, 1290567302857411908)
39 MATCH (31185, 15613, 41, 15572, 0, 67006514382270389)
40 MATCH (37338, 18692, 46, 18646, 0, 2037571763665077570)
41 MATCH (44583, 22316, 49, 22267, 0, 1369938363235200040)
42 MATCH (53174, 26613, 52, 26561, 0, 577640239776089963)
43 MATCH (63261, 31659, 57, 31602, 0, 299387188710437630)
44 MATCH (75175, 37619, 63, 37556, 0, 523193383128183659)
45 MATCH (89134, 44601, 68, 44533, 0, 1568118061668171670)
